TPS_Num,File,Location,Year,Sex,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
127,'17455j.JPG',EMND,OLD,M,17455j.JPG,11.166954,22.134052,13.640172,20.660114,14.477069,20.547695,14.589488,21.659394,16.887832,21.284664,19.885672,22.908494,19.535924,22.546255,21.98416,22.596219,23.23326,21.709358,22.571237,21.447047,21.746831,18.961338,17.537364,19.186176,11.816486,20.123001,12.228689,21.35961,13.290424,21.034844,14.214758,21.259682,16.200827,20.834988,17.787184,21.809286,18.674045,22.571237,21.384592,20.760042,21.10979,20.098019,21.247191,19.36105,9.630561,23.583008,10.729769,22.73362
113,'17736j.JPG',WAMN,OLD,F,17736j.JPG,7.119777,20.564229,9.950822,19.15473,10.818206,19.287247,10.613407,20.23896,12.781867,20.11849,15.685194,21.973728,15.167173,21.299096,17.913889,21.540036,19.118589,20.672652,18.31144,20.287148,18.2814759,17.46320248,13.793815,17.986171,8.252195,18.395769,7.999208,20.190772,8.902733,19.708892,10.288138,19.805268,12.179517,19.660704,13.73358,20.648558,14.793716,21.768929,17.624761,19.564328,17.20741528,18.61729125,17.63873007,17.81952825,5.035646,22.913394,6.62585,21.08225
112,'17737j.JPG',WAMN,OLD,M,17737j.JPG,6.098036,21.458425,8.660236,20.292624,9.966958,20.343868,9.313597,21.343126,11.862986,21.330315,15.283523,23.18791,14.976059,22.624226,17.077063,22.816391,18.563139,22.150219,17.743235,21.599346,17.256417,19.178067,12.580402,19.037146,7.071672,19.60083,7.110105,20.933174,8.173418,20.574466,9.147054,20.958796,11.209625,20.830686,12.721323,21.65059,13.951179,22.483305,16.78241,20.958796,16.410891,19.946727,16.78241,19.383043,4.035465,23.610673,5.495919,22.098975
114,'17738j.JPG',WAMN,OLD,F,17738j.JPG,7.635768,21.115236,10.596576,19.790664,11.42768,19.985454,10.882268,20.946418,13.167804,20.959404,15.84292,22.868346,15.284522,22.322934,17.362282,22.712514,18.647896,22.024256,17.66096,21.348984,17.83554443,18.80155135,14.232656,19.076434,8.648676,19.245252,8.752564,20.504894,9.596654,20.232188,10.71345,20.569824,12.362672,20.336076,13.920992,21.55676,14.985844,22.712514,17.050618,20.660726,16.79326334,19.80025872,17.24208799,19.08961278,5.8437,23.011192,7.129314,21.673634
111,'17739j.JPG',WAMN,OLD,F,17739j.JPG,8.401732,20.423824,11.098276,19.425104,11.947188,19.512492,11.397892,20.373888,13.645012,20.461276,16.428944,21.884452,15.892132,21.422544,17.827152,21.734644,18.925744,21.060508,18.314028,20.698472,17.714796,18.651096,14.468956,18.750968,9.11332,18.938228,9.338032,19.9744,10.186944,19.762172,11.210632,20.111724,14.219276,20.748408,14.818508,21.335156,15.492644,21.871968,17.764732,20.298984,17.390212,19.649816,17.452632,19.000648,6.604036,21.921904,7.765048,21.060508
229,'189712j.JPG',IOWA,OLD,M,189712j.JPG,22.08141,10.465195,25.01954,8.99613,25.98882,9.405045,25.579905,10.162295,27.881945,10.2986,31.153265,12.29774,30.668625,11.75252,33.19784,12.252305,34.545745,11.60107,33.182695,10.556065,32.69429753,7.694837907,28.80579,8.102575,22.95982,8.466055,22.944675,10.17744,24.004825,9.617075,25.32244,9.647365,27.53361,9.889685,29.032965,10.768095,30.10826,12.02513,32.28483663,9.814204129,31.78550435,8.835182364,32.09115676,8.011838731,20.02169,12.282595,21.53619,10.81353
228,'189713j.JPG',IOWA,OLD,F,189713j.JPG,19.8156,10.0695,22.785,8.5995,23.52,8.7318,23.373,9.5844,25.6074,9.6579,28.7238,11.319,28.3857,10.7163,31.1787,11.1573,32.34,10.4517,31.2522,9.6726,30.67900835,6.969245175,26.4747,7.3794,20.9328,7.8351,20.7417,9.7167,21.8736,9.0258,23.1525,9.114,25.578,9.1581,26.5482,9.7461,27.4743,10.7016,30.4029042,9.034443553,29.8372707,8.099358296,30.0964353,7.300884457,17.7576,12.2598,19.404,10.4223
253,'189714j.JPG',IOWA,OLD,M,189714j.JPG,21.789209,10.933047,24.311037,9.764395,25.21828,9.825903,25.033756,10.687015,27.432568,10.717769,29.908265,12.393862,29.892888,11.947929,32.260946,12.3016,33.321959,11.809536,32.845272,11.271341,32.322454,8.734136,28.324434,8.672628,22.681075,9.07243,22.850222,10.502491,23.588318,10.133443,24.726216,10.256459,26.632964,10.087312,28.232172,11.056063,29.016399,11.963306,31.861144,10.563999,31.476719,9.656756,31.768882,9.118561,19.805576,12.947434,21.174129,11.455865
254,'189715j.JPG',IOWA,OLD,M,189715j.JPG,22.949466,11.062087,25.504697,9.792407,26.66328,9.855891,26.203021,10.712925,28.472574,10.808151,31.615032,12.53809,30.980192,12.014347,33.852843,12.236541,34.932071,11.776282,34.328973,11.252539,33.551294,8.88776,29.599415,8.919502,23.790629,9.221051,24.060436,10.458989,24.949212,10.125698,25.933214,10.347892,27.853605,10.205053,29.266124,11.141442,30.599288,12.268283,33.48781,10.728796,32.741873,9.887633,32.868841,9.141696,20.886236,13.030091,22.346368,11.58583
206,'189716j.JPG',IOWA,OLD,F,189716j.JPG,27.976795,11.24354,30.67449,10.055045,31.334765,10.092775,31.16498,11.036025,33.35332,11.224675,35.92582478,12.63017742,35.4814616,11.78986784,38.03184,12.79047,39.16374,12.18679,37.333835,10.620995,37.11920654,8.082079867,34.617275,9.31931,29.033235,9.451365,28.63707,10.90397,29.712375,10.48894,30.90087,10.52667,32.67418,10.33802,33.84381,10.998295,34.90025,11.979275,36.47724308,9.777122422,36.19610637,8.958168788,36.57563583,8.328195315,26.128025,12.582955,27.524035,11.58311
203,'189718j.JPG',IOWA,OLD,F,189718j.JPG,28.278635,11.601975,30.63676,10.41348,31.372495,10.470075,31.24044,11.337865,33.485375,11.337865,36.277395,12.922525,36.013285,12.37544,38.29595,12.52636,39.54104,11.84722,38.66586403,11.42942155,38.5774009,9.145723079,34.40976,9.24385,29.184155,9.73434,29.24075,11.16808,30.353785,10.75305,31.05179,11.036025,32.730775,10.63986,34.25884,11.564245,35.16436,12.29998,38.00705321,10.97226287,37.64238922,10.17259692,37.99932766,9.458024255,26.467595,13.80918,27.84474,12.130195
