TPS_Num,File,Location,Year,Sex,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36
250,'MN010s.JPG',WAMN,NEW,,MN010s.JPG,14.96544,15.2796,13.82304,16.2078,18.22128,19.26372,23.90472,16.46484,23.31924,16.12212,20.07768,16.1364,19.80636,17.73576,18.07848,17.15028,15.26532,15.89364,16.40772,16.25064,17.7786,16.5648,19.57788,16.4934,22.86228,16.60764,21.8484,16.82184,20.67744,17.26452,25.64688,17.60724,15.25104,13.68024,15.17964,14.7084
125,'MN011s.JPG',WAMN,NEW,,MN011s.JPG,23.055078,19.660571,21.831677,20.728893,27.517907,23.813242,33.979532,20.349811,32.790593,19.453799,29.430548,20.091346,29.275469,21.814446,27.035439,21.469826,23.416929,20.694431,24.588637,20.987358,26.673588,20.694431,28.396688,20.625507,33.014596,20.33258,31.291496,20.797817,29.947478,21.383671,36.35741,20.970127,23.399698,17.472234,23.365236,18.988562
206,'MN012s.JPG',WAMN,NEW,,MN012s.JPG,24.661736,19.747816,23.371832,20.991652,29.145688,23.49468,35.671988,20.331344,34.765984,19.486764,31.32624,19.9628,30.834848,21.820876,28.56216,21.513756,25.137772,20.3467,26.980492,20.65382,28.823212,20.7306,30.450948,20.469548,34.39744,20.561684,32.616144,20.945584,31.495156,21.483044,37.85254,21.007008,24.784584,17.536552,24.815296,19.256424
205,'MN013s.JPG',WAMN,NEW,,MN013s.JPG,27.8271,18.8013,26.6658,19.7274,31.1934,22.4616,37.3086,19.2717,36.7353,18.7278,33.4131,19.11,32.928,20.6094,31.017,20.5065,28.1358,19.3305,29.3706,19.5657,30.7083,19.5657,32.2959,19.4187,36.2355,19.6686,35.0301,19.9185,33.5601,20.2713,38.9844,19.8303,27.8712,17.1108,27.9888,18.2574
201,'MN014s.JPG',WAMN,NEW,,MN014s.JPG,27.474385,17.425819,26.533197,18.159392,31.045363,20.692295,36.000441,18.104028,35.557529,17.633434,32.457145,17.882572,32.540191,19.391241,30.72702,18.976011,27.834251,18.020982,28.816962,18.450053,30.297949,18.505417,31.69589,18.200915,35.15614,18.394689,34.076542,18.629986,33.093831,19.059057,37.522951,18.82376,27.571272,15.930991,27.695841,16.996748
197,'MN015s.JPG',WAMN,NEW,,MN015s.JPG,23.840686,17.457266,22.772157,18.414779,27.448706,20.843254,33.110522,17.859699,32.444426,17.318496,29.238839,17.651544,28.933545,19.275153,27.046273,18.636811,24.201488,17.984592,25.39491,18.081731,26.560578,18.17887,27.920524,18.081731,32.458303,17.929084,31.459159,18.359271,29.738411,18.73395,34.803516,18.359271,24.492905,15.556117,24.42352,16.596892
195,'MN016s.JPG',WAMN,NEW,,MN016s.JPG,26.18708,18.779464,25.02964,19.835628,30.151312,21.77434,35.8083,19.010952,35.258516,18.504572,31.97428,18.996484,31.916408,20.284136,29.73174,19.907968,26.563248,19.401588,28.096856,19.416056,29.818548,19.401588,31.1062,19.271376,35.345324,19.112228,34.520648,19.31478,32.856828,19.806692,37.804884,19.488396,26.33176,16.71054,26.273888,17.896916
210,'MN017s.JPG',WAMN,NEW,,MN017s.JPG,27.474732,17.824576,26.33176,18.707124,31.1062,20.747112,36.67638,18.533508,36.31468,17.998192,33.102784,18.432232,32.69768,19.647544,30.88918,19.31478,27.865368,18.4467,29.124084,18.649252,30.758968,18.779464,32.278108,18.634784,36.271276,18.649252,35.113836,18.938612,34.28916,19.256908,38.455944,19.039888,27.547072,16.305436,27.604944,17.260324
251,'MN018s.JPG',WAMN,NEW,,MN018s.JPG,15.9222,16.47912,14.637,17.4216,19.90632,19.89204,25.67544,16.72188,24.87576,16.09356,21.777,16.62192,20.90592,18.7782,19.4208,18.1356,16.29348,17.136,17.03604,17.32164,18.16416,17.46444,20.22048,17.45016,24.99,16.82184,23.66196,17.15028,22.24824,17.72148,28.31724,17.59296,16.09356,14.12292,16.07928,15.43668
383,'MN131s.JPG',WAMN,NEW,,MN131s.JPG,10.9005,11.31624,9.71412,11.94492,15.0579,15.37224,20.99994,12.0666,20.2293,11.4582,16.71072,11.78268,16.67016,13.4355,14.51034,12.89808,11.52918,12.08688,13.06032,12.2694,14.58132,12.17814,15.84882,11.97534,20.19888,12.13758,19.15446,12.46206,17.8971,12.8778,23.46396,13.75998,11.22498,9.11586,11.09316,10.3428
384,'MN132s.JPG',WAMN,NEW,,MN132s.JPG,10.7066,10.5374,9.5504,11.2706,14.0906,13.9872,19.3546,10.951,19.035,10.387,15.9424,10.6408,15.5852,12.2012,13.8086,11.9568,11.1014,11.233,12.4174,11.374,13.3574,11.2894,14.5512,11.186,18.189,11.0356,17.2584,11.3364,16.5346,11.7688,21.2534,12.22,10.7536,8.2344,10.7912,9.5222
385,'MN133s.JPG',WAMN,NEW,,MN133s.JPG,11.695435,10.822042,10.420482,11.64524,15.630723,14.75733,20.620106,11.715513,20.188429,10.932471,16.825364,11.64524,17.036183,12.869998,15.189007,12.518633,12.036761,11.534811,13.341831,11.665318,14.707135,11.695435,15.791347,11.665318,19.746713,11.926332,18.87332,12.177307,17.949732,12.44836,23.129856,12.769608,11.685396,8.83432,11.625162,10.109273
386,'MN134s.JPG',WAMN,NEW,,MN134s.JPG,11.39061,10.493168,10.177584,10.89751,15.512926,14.013902,20.394616,11.282128,19.881792,10.70027,16.725952,11.084888,16.755538,12.209156,14.625346,12.03164,12.002054,11.173646,13.41232,11.400472,14.852172,11.39061,15.739752,11.301852,19.42814,11.528678,18.54056,11.627298,17.544498,11.98233,22.810806,12.238742,11.666746,8.501044,11.548402,9.546416
387,'MN135s.JPG',WAMN,NEW,,MN135s.JPG,8.301795,10.025665,7.176743,11.005549,12.566105,14.06315,17.864737,10.297855,16.948364,9.916789,13.936128,10.424877,13.754668,12.130601,11.921922,11.921922,8.818956,10.833162,10.089176,10.760578,11.25052,10.942038,12.620543,10.815016,16.812269,10.479315,15.750728,10.760578,14.78899,11.114425,20.196498,11.903776,8.610277,7.839072,8.510474,9.154657
388,'MN136s.JPG',WAMN,NEW,,MN136s.JPG,10.086807,10.53279,8.834259,11.396289,14.205033,14.736417,19.775076,10.921839,18.778731,10.181697,15.704295,10.855416,15.618894,12.591903,13.531314,12.269277,10.504323,11.206509,12.05103,11.491179,13.730583,11.29191,14.831307,11.140086,18.664863,11.00724,17.573628,11.329866,16.444437,11.965629,21.283827,12.354678,10.286076,8.331342,10.162719,9.555423
389,'MN137s.JPG',WAMN,NEW,,MN137s.JPG,10.56674,10.56674,9.44588,11.33314,14.3221,14.23588,19.67732,11.19902,19.0163,10.5859,16.1902,11.04574,15.8549,12.54022,14.0347,12.1666,11.0649,11.13196,12.12828,11.31398,13.35452,11.38104,14.73404,11.33314,18.55646,11.38104,17.56972,11.62054,16.4297,12.09954,21.72744,12.31988,10.91162,8.39208,10.72002,9.61832
390,'MN138s.JPG',WAMN,NEW,,MN138s.JPG,11.8188,11.0148,10.82385,11.8389,16.2207,14.88405,21.61755,11.54745,21.01455,11.06505,17.71815,11.44695,17.55735,13.11525,15.7785,12.5826,12.3213,11.60775,13.47705,11.88915,14.76345,11.84895,16.2006,11.8188,20.51205,11.7786,19.44675,12.17055,18.1302,12.53235,23.96925,12.7233,12.261,9.07515,12.1203,9.9093
213,'ND002s.JPG',EMND,NEW,,ND002s.JPG,14.5656,16.23636,13.43748,17.3502,18.14988,19.4208,24.7044,16.40772,23.89044,15.96504,20.39184,16.37916,19.96344,17.97852,17.82144,17.493,14.8512,16.72188,16.22208,17.15028,17.5644,17.00748,19.30656,16.82184,24.11892,16.50768,22.90512,16.7076,21.23436,17.02176,26.51796,17.37876,14.67984,14.02296,14.87976,15.36528
196,'ND005s.JPG',EMND,NEW,,ND005s.JPG,27.206586,18.239133,26.018652,19.108353,30.929745,22.005753,36.898389,19.485015,36.231987,18.68823,32.914464,18.963483,32.508828,20.600514,30.784875,19.963086,27.496326,18.862074,28.756695,19.195275,29.959116,19.325658,31.552686,19.311171,36.058143,19.499502,34.638417,19.745781,33.363561,20.107956,39.245283,20.223852,27.539787,16.486206,27.438378,17.659653
214,'ND006s.JPG',EMND,NEW,,ND006s.JPG,14.34213,15.051993,13.0383,15.834291,17.500296,19.253223,24.149829,17.23953,23.802141,16.486206,20.455644,16.442745,19.600911,18.181185,17.746575,17.355426,14.544948,15.573525,15.385194,15.993648,16.920816,16.471719,18.615795,16.732485,23.193687,17.282991,21.87537,17.340939,20.615001,17.688627,26.540184,19.224249,15.153402,12.705099,14.805714,14.269695
215,'ND007s.JPG',EMND,NEW,,ND007s.JPG,14.110338,15.906726,13.0383,17.036712,18.97797,19.571937,25.149432,16.732485,24.323673,16.095057,20.759871,16.529667,20.528079,17.934906,18.224646,17.746575,14.617383,16.500693,16.095057,16.920816,17.616192,17.123634,19.760268,17.007738,24.207777,16.80492,22.672155,17.152608,21.29589,17.456835,28.191702,17.543757,14.487,13.76265,14.429052,14.907123
216,'ND008s.JPG',EMND,NEW,,ND008s.JPG,16.935303,15.153402,15.950187,15.863265,20.165904,18.412977,25.64199,16.51518,25.699938,15.877752,22.02024,16.022622,21.744987,17.413374,20.13693,16.775946,17.167095,15.732882,18.297081,16.095057,19.818216,16.312362,21.179994,16.283388,24.932127,16.80492,23.816628,16.993251,22.74459,17.138121,27.742605,17.558244,17.413374,13.748163,17.254017,14.429052
140,'ND009s.JPG',EMND,NEW,,ND009s.JPG,16.407108,16.690968,15.300054,17.925759,19.770849,20.182446,25.717716,17.755443,25.12161,16.932249,21.928185,17.159337,21.502395,18.536058,19.657305,18.053496,16.634196,17.187723,17.712864,17.570934,19.061199,17.613513,20.693394,17.570934,24.142293,17.88318,22.935888,18.039303,21.956571,18.280584,27.860859,18.4509,16.549038,14.746527,16.549038,15.867774
137,'ND010s.JPG',EMND,NEW,,ND010s.JPG,14.16492,15.2424,13.19256,15.75486,18.10692,18.09378,23.48118,15.3081,22.7979,14.86134,19.8414,15.34752,19.5129,16.7535,17.66016,16.47756,14.61168,15.54462,16.00452,15.82056,17.26596,15.87312,18.57996,15.72858,22.15404,15.61032,20.98458,15.95196,20.11734,16.26732,25.60986,16.34616,14.40144,12.96918,14.29632,14.28318
185,'ND012s.JPG',EMND,NEW,,ND012s.JPG,21.2709,18.6984,20.0067,19.9773,25.6074,21.9177,31.5903,18.816,30.9876,18.2133,27.5478,18.7572,27.2685,20.3448,25.2252,20.2125,21.7413,19.4334,22.9173,19.6833,24.7548,19.4775,26.4159,19.2129,31.0611,19.0218,29.5323,19.3452,28.3416,19.9038,34.0893,19.6833,21.0798,16.6257,21.1533,18.2868
131,ND014s.JPG',EMND,NEW,,NDND014s.JPG,15.599064,14.856894,14.330628,15.909426,18.75666,17.839068,24.42414,15.342678,23.641488,14.77593,20.524374,15.207738,20.429916,16.341234,18.783648,16.071354,15.814968,15.234726,16.543644,15.477618,17.960514,15.612558,19.5663,15.572076,23.6145,15.545088,22.454016,15.814968,21.549918,16.098342,25.894986,16.138824,15.221232,13.588458,15.423642,14.70846
217,'ND015s.JPG',EMND,NEW,,ND015s.JPG,16.17924,15.43668,14.83692,16.32204,19.33512,19.53504,25.2756,16.57908,24.89004,15.83652,21.3486,16.36488,20.87736,18.14988,19.22088,17.59296,16.67904,16.15068,17.87856,16.53624,19.30656,16.69332,20.37756,16.55052,24.30456,16.7076,23.04792,17.09316,21.69132,17.62152,27.0606,17.97852,16.45056,13.36608,16.40772,14.75124
